Model,Seed,View,Mean_gate,SD_gate
CloudTrace-MVAD (Full),42,event,0.33489444851875305,0.16844013333320618
CloudTrace-MVAD (Full),42,temporal,0.5937041640281677,0.13000385463237762
CloudTrace-MVAD (Full),42,relational,0.07140140235424042,0.09187594056129456
Ablation: Event only,42,event,1.0,0.0
Ablation: No event,42,temporal,0.8377819657325745,0.17643970251083374
Ablation: No event,42,relational,0.16221806406974792,0.17643970251083374
Ablation: No temporal,42,event,0.6752781867980957,0.2970923185348511
Ablation: No temporal,42,relational,0.3247217535972595,0.2970923185348511
Ablation: No relational,42,event,0.367022842168808,0.14740540087223053
Ablation: No relational,42,temporal,0.6329771876335144,0.14740540087223053
CloudTrace-MVAD (Full),52,event,0.3293958902359009,0.18098033964633942
CloudTrace-MVAD (Full),52,temporal,0.5860354900360107,0.12927880883216858
CloudTrace-MVAD (Full),52,relational,0.08456859737634659,0.10049369186162949
Ablation: Event only,52,event,1.0,0.0
Ablation: No event,52,temporal,0.8285372257232666,0.16898074746131897
Ablation: No event,52,relational,0.1714627593755722,0.16898074746131897
Ablation: No temporal,52,event,0.6225224137306213,0.28617191314697266
Ablation: No temporal,52,relational,0.37747761607170105,0.28617191314697266
Ablation: No relational,52,event,0.364944189786911,0.16172043979167938
Ablation: No relational,52,temporal,0.6350557804107666,0.1617204248905182
CloudTrace-MVAD (Full),62,event,0.3640696406364441,0.15141774713993073
CloudTrace-MVAD (Full),62,temporal,0.568541407585144,0.12794850766658783
CloudTrace-MVAD (Full),62,relational,0.06738896667957306,0.08479315787553787
Ablation: Event only,62,event,1.0,0.0
Ablation: No event,62,temporal,0.8380523324012756,0.1637694090604782
Ablation: No event,62,relational,0.16194768249988556,0.1637694090604782
Ablation: No temporal,62,event,0.7395970821380615,0.22458000481128693
Ablation: No temporal,62,relational,0.2604028880596161,0.22457998991012573
Ablation: No relational,62,event,0.3694027364253998,0.1561778038740158
Ablation: No relational,62,temporal,0.6305972933769226,0.1561778038740158
CloudTrace-MVAD (Full),72,event,0.34418174624443054,0.17493776977062225
CloudTrace-MVAD (Full),72,temporal,0.5978638529777527,0.1349967122077942
CloudTrace-MVAD (Full),72,relational,0.05795440450310707,0.07271261513233185
Ablation: Event only,72,event,1.0,0.0
Ablation: No event,72,temporal,0.8539447784423828,0.1632455289363861
Ablation: No event,72,relational,0.1460551768541336,0.1632455289363861
Ablation: No temporal,72,event,0.6412838101387024,0.32905638217926025
Ablation: No temporal,72,relational,0.35871621966362,0.32905635237693787
Ablation: No relational,72,event,0.3715079128742218,0.16439953446388245
Ablation: No relational,72,temporal,0.6284920573234558,0.16439954936504364
CloudTrace-MVAD (Full),82,event,0.34456589818000793,0.18009938299655914
CloudTrace-MVAD (Full),82,temporal,0.5761649012565613,0.14122989773750305
CloudTrace-MVAD (Full),82,relational,0.07926918566226959,0.10420866310596466
Ablation: Event only,82,event,1.0,0.0
Ablation: No event,82,temporal,0.8179271817207336,0.18371707201004028
Ablation: No event,82,relational,0.18207283318042755,0.18371707201004028
Ablation: No temporal,82,event,0.6844672560691833,0.2593652009963989
Ablation: No temporal,82,relational,0.31553277373313904,0.2593652009963989
Ablation: No relational,82,event,0.37352967262268066,0.14644858241081238
Ablation: No relational,82,temporal,0.6264703273773193,0.14644858241081238
