eventTime,events
2017-02-01 00:00:00+00:00,7537
2017-03-01 00:00:00+00:00,9650
2017-04-01 00:00:00+00:00,1941
2017-05-01 00:00:00+00:00,28649
2017-06-01 00:00:00+00:00,4107
2017-07-01 00:00:00+00:00,4438
2017-08-01 00:00:00+00:00,4077
2017-09-01 00:00:00+00:00,2785
2017-10-01 00:00:00+00:00,9481
2017-11-01 00:00:00+00:00,4294
2017-12-01 00:00:00+00:00,2422
2018-01-01 00:00:00+00:00,4695
2018-02-01 00:00:00+00:00,6420
2018-03-01 00:00:00+00:00,2432
2018-04-01 00:00:00+00:00,18609
2018-05-01 00:00:00+00:00,2626
2018-06-01 00:00:00+00:00,4168
2018-07-01 00:00:00+00:00,16551
2018-08-01 00:00:00+00:00,10693
2018-09-01 00:00:00+00:00,7379
2018-10-01 00:00:00+00:00,28806
2018-11-01 00:00:00+00:00,4824
2018-12-01 00:00:00+00:00,10930
2019-01-01 00:00:00+00:00,8423
2019-02-01 00:00:00+00:00,4139
2019-03-01 00:00:00+00:00,8958
2019-04-01 00:00:00+00:00,10244
2019-05-01 00:00:00+00:00,10736
2019-06-01 00:00:00+00:00,21326
2019-07-01 00:00:00+00:00,21969
2019-08-01 00:00:00+00:00,710859
2019-09-01 00:00:00+00:00,17824
2019-10-01 00:00:00+00:00,10665
2019-11-01 00:00:00+00:00,11756
2019-12-01 00:00:00+00:00,5206
2020-01-01 00:00:00+00:00,15289
2020-02-01 00:00:00+00:00,11980
2020-03-01 00:00:00+00:00,21551
2020-04-01 00:00:00+00:00,15287
2020-05-01 00:00:00+00:00,14403
2020-06-01 00:00:00+00:00,23259
2020-07-01 00:00:00+00:00,19485
2020-08-01 00:00:00+00:00,11547
2020-09-01 00:00:00+00:00,23936
2020-10-01 00:00:00+00:00,29428
