eventName,events
RunInstances,708270
DescribeSnapshots,84814
AssumeRole,72438
GetBucketAcl,41641
DescribeInstances,15302
GetCallerIdentity,12741
GetPolicyVersion,11409
ListBuckets,11259
DescribeSpotPriceHistory,10196
DescribeVpcs,5661
ListFunctions202224,5277
DescribeLoadBalancers,5157
ListEntitiesForPolicy,5112
DescribeSnapshotAttribute,4911
DescribeSecurityGroups,4893
CreateDefaultVpc,4256
DescribeTrails,3931
GetPolicy,3890
ListPolicies,3779
CreateLogStream,3621
GetBucketLocation,3421
DescribeVolumes,3211
DescribeDBInstances,3021
ListPolicyVersions,2843
GetUser,2828
