eventSource,events
ec2.amazonaws.com,884329
sts.amazonaws.com,85487
s3.amazonaws.com,76117
iam.amazonaws.com,50905
rds.amazonaws.com,15549
lambda.amazonaws.com,9666
apigateway.amazonaws.com,7629
cloudtrail.amazonaws.com,7091
logs.amazonaws.com,6873
redshift.amazonaws.com,5763
elasticloadbalancing.amazonaws.com,5526
config.amazonaws.com,4853
elasticache.amazonaws.com,4491
sns.amazonaws.com,3640
cloudformation.amazonaws.com,3117
kms.amazonaws.com,3031
autoscaling.amazonaws.com,1938
iot.amazonaws.com,1900
monitoring.amazonaws.com,1858
lightsail.amazonaws.com,1735
