Feature,q01,q05,q50,q95,q99,q995
error_rate,0.0,0.0,0.0,0.11198067739605341,1.0,1.0
unique_event_ratio,0.04943836992394891,0.2,1.0,1.0,1.0,1.0
unique_service_ratio,0.02564102564102564,0.14285714285714285,1.0,1.0,1.0,1.0
action_rarity_mean,2.9804134368896484,2.9804134368896484,2.9804134368896484,6.051210403442383,7.307965316772467,8.258523054122941
action_rarity_max,2.9804134368896484,2.9804134368896484,2.9804134368896484,7.327202939987131,11.124299049377441,12.446054458618164
service_rarity_mean,0.21333883702754974,0.9093899160623553,2.8247311115264893,5.578600883483887,5.578600883483887,5.578600883483887
service_rarity_max,0.21333883702754974,2.8247311115264893,2.8247311115264893,5.578600883483887,8.033256530761719,9.321489334106445
region_rarity_mean,1.8426926136016846,1.8426926136016846,1.8426926136016846,1.967513918876648,2.6607067418098453,2.773483991622925
region_rarity_max,1.8426926136016846,1.8426926136016846,1.8426926136016846,1.967513918876648,3.3972043991088867,3.3972043991088867
error_rarity_mean,1.4474735260009766,1.4474735260009766,1.4474735260009766,1.6909857749938952,2.929093837738037,3.142794339656833
action_prop_RunInstances,0.0,0.0,0.0,0.0,0.0,0.0
action_prop_AssumeRole,0.0,0.0,1.0,1.0,1.0,1.0
action_prop_DescribeSnapshots,0.0,0.0,0.0,0.5,0.9285714030265808,0.969072163105011
action_prop_DescribeInstances,0.0,0.0,0.0,0.0,0.1428571492433548,0.3333333432674408
action_prop_GetBucketAcl,0.0,0.0,0.0,0.0,0.0,0.021364754252135812
action_prop_DescribeSpotPriceHistory,0.0,0.0,0.0,0.0,0.0,0.0
action_prop_GetPolicyVersion,0.0,0.0,0.0,0.0,0.1428571492433548,0.20413520462811044
action_prop_GetCallerIdentity,0.0,0.0,0.0,0.0714285746216774,0.5,0.5
action_prop_ListBuckets,0.0,0.0,0.0,0.3333333432674408,1.0,1.0
action_prop_DescribeSnapshotAttribute,0.0,0.0,0.0,0.0,0.0,0.01785714365541935
action_prop_ListEntitiesForPolicy,0.0,0.0,0.0,0.0,0.0,0.0
action_prop_CreateDefaultVpc,0.0,0.0,0.0,0.0,0.0,0.0
action_prop_ListFunctions202224,0.0,0.0,0.0,0.0,0.1428571492433548,0.14746429182589366
action_prop_DescribeLoadBalancers,0.0,0.0,0.0,0.0,0.0,0.0
action_prop_DescribeSecurityGroups,0.0,0.0,0.0,0.0,0.0,0.013991135261021624
action_prop_DescribeVpcs,0.0,0.0,0.0,0.0,0.0,0.0033022500679363224
action_prop_ListPolicyVersions,0.0,0.0,0.0,0.0,0.0,0.0
action_prop_GetBucketLocation,0.0,0.0,0.0,0.0,0.0,0.010787486098706722
action_prop_DescribeKeyPairs,0.0,0.0,0.0,0.0,0.0,0.0
action_prop_GetPolicy,0.0,0.0,0.0,0.0,0.1428571492433548,0.20000000298023224
action_prop_DescribeTrails,0.0,0.0,0.0,0.0,0.0,0.00704441851936346
action_prop_CreateLogStream,0.0,0.0,0.0,1.0,1.0,1.0
action_prop_CreateKeyPair,0.0,0.0,0.0,0.0,0.0,0.0
action_prop_ListPolicies,0.0,0.0,0.0,0.0,0.0,0.06496844209730655
action_prop_GenerateCredentialReport,0.0,0.0,0.0,0.0,0.0,0.0
