epoch,train_loss,validation_loss,Model,Seed
1,0.24955120980739592,0.26561716198921204,Denoising Autoencoder,42
2,0.14694834724068642,0.16393925249576569,Denoising Autoencoder,42
3,0.08659399338066578,0.1017061322927475,Denoising Autoencoder,42
4,0.05500794959565004,0.07336711138486862,Denoising Autoencoder,42
5,0.041259025161465006,0.057609956711530685,Denoising Autoencoder,42
6,0.03351769410073757,0.04945587366819382,Denoising Autoencoder,42
7,0.029088200877110164,0.04272225499153137,Denoising Autoencoder,42
8,0.026863805887599786,0.03790522366762161,Denoising Autoencoder,42
9,0.024522220715880394,0.03617902100086212,Denoising Autoencoder,42
10,0.023202375260492167,0.033898208290338516,Denoising Autoencoder,42
11,0.022691013974448046,0.03197756037116051,Denoising Autoencoder,42
12,0.021804860141128302,0.030394650995731354,Denoising Autoencoder,42
13,0.020408681655923525,0.029949769377708435,Denoising Autoencoder,42
14,0.019564690192540486,0.028536174446344376,Denoising Autoencoder,42
15,0.020245329290628434,0.028081968426704407,Denoising Autoencoder,42
16,0.019817957499374945,0.02748371846973896,Denoising Autoencoder,42
17,0.018917582059899966,0.026075581088662148,Denoising Autoencoder,42
18,0.017687123268842697,0.026830879971385002,Denoising Autoencoder,42
1,0.2625227555632591,0.266727140173316,CloudTrace-MVAD (Full),42
2,0.16596403022607167,0.2277346160262823,CloudTrace-MVAD (Full),42
3,0.12579602946837742,0.1737691555172205,CloudTrace-MVAD (Full),42
4,0.09763460184137027,0.14304545801132917,CloudTrace-MVAD (Full),42
5,0.07520186901092529,0.11363471206277609,CloudTrace-MVAD (Full),42
6,0.05796805992722511,0.09442489221692085,CloudTrace-MVAD (Full),42
7,0.046764659136533736,0.08274228312075138,CloudTrace-MVAD (Full),42
8,0.04071069061756134,0.07723608333617449,CloudTrace-MVAD (Full),42
9,0.03676863896350066,0.07213008869439363,CloudTrace-MVAD (Full),42
10,0.03524399821956952,0.07006303872913122,CloudTrace-MVAD (Full),42
11,0.0328562601779898,0.06853927951306105,CloudTrace-MVAD (Full),42
12,0.03246305504192908,0.06660358794033527,CloudTrace-MVAD (Full),42
13,0.03166235455622276,0.06576541904360056,CloudTrace-MVAD (Full),42
14,0.03150159598638614,0.06472457014024258,CloudTrace-MVAD (Full),42
15,0.030657599742213885,0.06428624829277396,CloudTrace-MVAD (Full),42
16,0.030242673556009927,0.0640761936083436,CloudTrace-MVAD (Full),42
17,0.030046124259630838,0.06410348787903786,CloudTrace-MVAD (Full),42
18,0.03048405610024929,0.06410686066374183,CloudTrace-MVAD (Full),42
1,0.2538762832681338,0.2036295107100159,Ablation: Event only,42
2,0.1471358433365822,0.11265130457468331,Ablation: Event only,42
3,0.0786584548652172,0.05570851149968803,Ablation: Event only,42
4,0.04391438625752926,0.034825935028493404,Ablation: Event only,42
5,0.03294665819654862,0.02775473124347627,Ablation: Event only,42
6,0.029515941503147285,0.0240223438013345,Ablation: Event only,42
7,0.027012067039807637,0.021921807434409857,Ablation: Event only,42
8,0.023600299966832,0.019670496694743633,Ablation: Event only,42
9,0.022012314417709906,0.018225332023575902,Ablation: Event only,42
10,0.022046861766527096,0.01801925722975284,Ablation: Event only,42
11,0.020220545368889967,0.016337247332558036,Ablation: Event only,42
12,0.01995396806548039,0.01609081868082285,Ablation: Event only,42
13,0.020731895479063192,0.01569883176125586,Ablation: Event only,42
14,0.018912904988974334,0.015499416971579194,Ablation: Event only,42
15,0.019378480004767575,0.015033438103273511,Ablation: Event only,42
16,0.018286995186160008,0.014994306024163961,Ablation: Event only,42
17,0.019072978167484204,0.015030576149001718,Ablation: Event only,42
18,0.018793704422811666,0.014999695005826652,Ablation: Event only,42
1,0.23929073909918466,0.24936026334762573,Ablation: No event,42
2,0.1458183268706004,0.18044807575643063,Ablation: No event,42
3,0.09593506902456284,0.1341362725943327,Ablation: No event,42
4,0.0625322929273049,0.10346733219921589,Ablation: No event,42
5,0.04527429193258285,0.08970843814313412,Ablation: No event,42
6,0.036788402621944744,0.08256240654736757,Ablation: No event,42
7,0.03275338398913542,0.07846381794661283,Ablation: No event,42
8,0.028803287198146184,0.07551014982163906,Ablation: No event,42
9,0.026701230679949124,0.07354684453457594,Ablation: No event,42
10,0.026367443986237048,0.0713695203885436,Ablation: No event,42
11,0.02635648331294457,0.06990978866815567,Ablation: No event,42
12,0.024748790139953295,0.06842249725013971,Ablation: No event,42
13,0.024069628864526748,0.06769029702991247,Ablation: No event,42
14,0.023778293343881766,0.06695772707462311,Ablation: No event,42
15,0.02408845673004786,0.06641856674104929,Ablation: No event,42
16,0.024276749727626643,0.06597159709781408,Ablation: No event,42
17,0.024175142124295234,0.06609513703733683,Ablation: No event,42
18,0.02348272434125344,0.06596687342971563,Ablation: No event,42
1,0.17892307365934054,0.1593171041458845,Ablation: No temporal,42
2,0.09546606143315634,0.11095522018149495,Ablation: No temporal,42
3,0.05755273799101512,0.07967098196968436,Ablation: No temporal,42
4,0.0361222347865502,0.062491596676409245,Ablation: No temporal,42
5,0.027253897798558076,0.055076062213629484,Ablation: No temporal,42
6,0.024160828875998654,0.05157826887443662,Ablation: No temporal,42
7,0.021662218185762565,0.048631607089191675,Ablation: No temporal,42
8,0.01973199356968204,0.046783661004155874,Ablation: No temporal,42
9,0.018733959800253313,0.044941713102161884,Ablation: No temporal,42
10,0.017628256231546402,0.04345330875366926,Ablation: No temporal,42
11,0.016888930772741634,0.04213828104548156,Ablation: No temporal,42
12,0.01656881890570124,0.04116155579686165,Ablation: No temporal,42
13,0.015933534192542235,0.040543310809880495,Ablation: No temporal,42
14,0.0156934082818528,0.04013432818464935,Ablation: No temporal,42
15,0.015808888928343853,0.03987447964027524,Ablation: No temporal,42
16,0.01613169287641843,0.039785456378012896,Ablation: No temporal,42
17,0.015205297743280728,0.039630743907764554,Ablation: No temporal,42
18,0.015091920923441648,0.03961422760039568,Ablation: No temporal,42
1,0.33985785792271295,0.31838556937873363,Ablation: No relational,42
2,0.21579107344150544,0.22007009759545326,Ablation: No relational,42
3,0.1456412968536218,0.14897336065769196,Ablation: No relational,42
4,0.10104631458719572,0.10573197156190872,Ablation: No relational,42
5,0.07543507603307566,0.08826226182281971,Ablation: No relational,42
6,0.06249034578601519,0.07516848109662533,Ablation: No relational,42
7,0.05500271568695704,0.06804678495973349,Ablation: No relational,42
8,0.04939021865526835,0.0617341622710228,Ablation: No relational,42
9,0.04734467429419358,0.05847275955602527,Ablation: No relational,42
10,0.045172741760810216,0.05591183668002486,Ablation: No relational,42
11,0.04333984032273293,0.053395291324704885,Ablation: No relational,42
12,0.04108637968699137,0.05146203003823757,Ablation: No relational,42
13,0.04113168027251959,0.05053879972547293,Ablation: No relational,42
14,0.040450176472465196,0.05020512547343969,Ablation: No relational,42
15,0.04117517434060573,0.04971355712041259,Ablation: No relational,42
16,0.039460478660960994,0.049504716880619526,Ablation: No relational,42
17,0.0397595585634311,0.049235193990170956,Ablation: No relational,42
18,0.03952420378724734,0.04918918386101723,Ablation: No relational,42
1,0.2477460463841756,0.25548067688941956,Denoising Autoencoder,52
2,0.14856835181514422,0.16679470241069794,Denoising Autoencoder,52
3,0.09236749857664109,0.10758321732282639,Denoising Autoencoder,52
4,0.05921209119260311,0.0760323777794838,Denoising Autoencoder,52
5,0.042722543329000474,0.06102076172828674,Denoising Autoencoder,52
6,0.034750136608878775,0.050700653344392776,Denoising Autoencoder,52
7,0.030059473837415376,0.045503340661525726,Denoising Autoencoder,52
8,0.027104365391035876,0.04040601849555969,Denoising Autoencoder,52
9,0.02506289885689815,0.03693326935172081,Denoising Autoencoder,52
10,0.02424427345395088,0.03458442911505699,Denoising Autoencoder,52
11,0.02327139594902595,0.03338724374771118,Denoising Autoencoder,52
12,0.02133358127127091,0.03110956959426403,Denoising Autoencoder,52
13,0.020958860218524934,0.030164049938321114,Denoising Autoencoder,52
14,0.020416806420932212,0.029321497306227684,Denoising Autoencoder,52
15,0.01961939741546909,0.026753876358270645,Denoising Autoencoder,52
16,0.019581720481316248,0.026861993595957756,Denoising Autoencoder,52
17,0.018876977978895107,0.026783598586916924,Denoising Autoencoder,52
18,0.01841127403701345,0.025690000504255295,Denoising Autoencoder,52
1,0.26234424859285355,0.25893107801675797,CloudTrace-MVAD (Full),52
2,0.16458070625861485,0.21079980581998825,CloudTrace-MVAD (Full),52
3,0.12533688346544902,0.16116902511566877,CloudTrace-MVAD (Full),52
4,0.1023119608561198,0.13978403247892857,CloudTrace-MVAD (Full),52
5,0.08221200878421465,0.11651059053838253,CloudTrace-MVAD (Full),52
6,0.06434571854770184,0.10176342818886042,CloudTrace-MVAD (Full),52
7,0.05226572056611379,0.09098291583359241,CloudTrace-MVAD (Full),52
8,0.0441614576925834,0.08021646738052368,CloudTrace-MVAD (Full),52
9,0.03950768522918224,0.07760630548000336,CloudTrace-MVAD (Full),52
10,0.03733672716965278,0.07178039755672216,CloudTrace-MVAD (Full),52
11,0.035272022088368736,0.06911172159016132,CloudTrace-MVAD (Full),52
