Model,Seed,Parameters,Approx_FLOPs,Train_seconds,Peak_VRAM_MB
Isolation Forest,42,,,1.157881755999938,0.0
PCA Reconstruction,42,,,0.6148512160000337,0.0
One-Class SVM,42,,,0.38571644000001015,0.0
Denoising Autoencoder,42,29104.0,57344.0,3.901007477999997,
CloudTrace-MVAD (Full),42,44915.0,86592.0,8.577083377999998,29.22998046875
Ablation: Event only,42,18960.0,36672.0,4.493116210000039,22.26904296875
Ablation: No event,42,26051.0,49920.0,6.002307039000016,25.59228515625
Ablation: No temporal,42,31069.0,59904.0,6.1775553180000315,26.1279296875
Ablation: No relational,42,32806.0,63360.0,6.629774839999982,26.36328125
Isolation Forest,52,,,1.1013547879999805,0.0
PCA Reconstruction,52,,,0.6023577309999837,0.0
One-Class SVM,52,,,0.45480175000000145,0.0
Denoising Autoencoder,52,29104.0,57344.0,3.3161254850000432,
CloudTrace-MVAD (Full),52,44915.0,86592.0,7.754285156000037,29.85009765625
Ablation: Event only,52,18960.0,36672.0,5.026108001000011,22.62744140625
Ablation: No event,52,26051.0,49920.0,6.44490486899997,25.59228515625
Ablation: No temporal,52,31069.0,59904.0,6.447257781000076,26.1279296875
Ablation: No relational,52,32806.0,63360.0,6.009574390000012,26.36328125
Isolation Forest,62,,,1.092948784999976,0.0
PCA Reconstruction,62,,,0.6743155380000871,0.0
One-Class SVM,62,,,0.4409252259999903,0.0
Denoising Autoencoder,62,29104.0,57344.0,3.3034700810000004,
CloudTrace-MVAD (Full),62,44915.0,86592.0,7.790827082000078,29.85009765625
Ablation: Event only,62,18960.0,36672.0,5.186047971999983,22.62744140625
Ablation: No event,62,26051.0,49920.0,5.8433170340000515,25.59228515625
Ablation: No temporal,62,31069.0,59904.0,6.179146037999999,26.1279296875
Ablation: No relational,62,32806.0,63360.0,6.00740698200002,26.36328125
Isolation Forest,72,,,1.1052196770000364,0.0
PCA Reconstruction,72,,,0.7365521589999844,0.0
One-Class SVM,72,,,0.43901319799999783,0.0
Denoising Autoencoder,72,29104.0,57344.0,3.1680326760000526,
CloudTrace-MVAD (Full),72,44915.0,86592.0,7.591448358999969,29.85009765625
Ablation: Event only,72,18960.0,36672.0,4.819917400999998,22.62744140625
Ablation: No event,72,26051.0,49920.0,5.744022071000018,25.59228515625
Ablation: No temporal,72,31069.0,59904.0,5.925538112000027,26.1279296875
Ablation: No relational,72,32806.0,63360.0,6.039084184000103,26.36328125
Isolation Forest,82,,,1.0977569159999803,0.0
PCA Reconstruction,82,,,0.6648290269999961,0.0
One-Class SVM,82,,,0.41303953099998125,0.0
Denoising Autoencoder,82,29104.0,57344.0,3.10946345800005,
CloudTrace-MVAD (Full),82,44915.0,86592.0,7.376401508000072,29.85009765625
Ablation: Event only,82,18960.0,36672.0,5.136976282999967,22.62744140625
Ablation: No event,82,26051.0,49920.0,5.832526859999916,25.59228515625
Ablation: No temporal,82,31069.0,59904.0,6.26278943300008,26.1279296875
Ablation: No relational,82,32806.0,63360.0,6.074894226999959,26.36328125
