start_time,end_time,identity_hash,source_ip_hash,dominant_API,dominant_service,dominant_region,dominant_error,n_events,error_rate,identity_ip_novel_rate,identity_ua_novel_rate,identity_region_novel_rate,transition_surprise_mean,anomaly_score
2020-09-25 09:21:47+00:00,2020-09-25 09:21:47+00:00,36d7a6cb9f17,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,1,0.0,1.0,1.0,1.0,13.845187,32.31009931614978
2020-05-28 09:07:15+00:00,2020-05-28 09:17:20+00:00,4580fae1bde5,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,6,0.0,1.0,1.0,1.0,13.845187,32.27428072034006
2020-06-01 17:20:50+00:00,2020-06-01 17:25:48+00:00,4de0c24155c6,2ecfc287107d,SharedSnapshotCopyInitiated,ec2.amazonaws.com,us-west-2,NoError,2,0.0,1.0,1.0,1.0,13.845187,32.25121981038534
2020-09-25 09:25:53+00:00,2020-09-25 09:53:27+00:00,c9c200a9ef3a,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,3,0.0,1.0,1.0,1.0,13.845187,32.18158461249586
2020-09-29 13:58:28+00:00,2020-09-29 13:58:28+00:00,a7bacc230cb1,9742ec296b75,GetBucketLocation,s3.amazonaws.com,us-west-2,AccessDenied,7,1.0,1.0,1.0,1.0,5.520228,32.081098630589594
2020-05-09 18:39:43+00:00,2020-05-09 18:39:43+00:00,6d0c4061316c,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,1,0.0,1.0,1.0,1.0,13.845187,32.06955832115003
2020-06-04 09:30:34+00:00,2020-06-04 09:54:31+00:00,4580fae1bde5,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,10,0.0,1.0,1.0,1.0,13.845187,32.004156646058256
2020-08-28 20:22:09+00:00,2020-08-28 21:01:33+00:00,98669af48955,ca6c0bce7a81,GetBucketAcl,s3.amazonaws.com,us-west-2,AccessDenied,147,1.0,1.0,1.0,1.0,5.009645,31.72173934719725
2020-10-06 16:39:31+00:00,2020-10-06 16:57:12+00:00,30e94f1ca7bc,b89e3181863f,DescribeEventSubscriptions,rds.amazonaws.com,us-east-1,AccessDenied,1121,0.99286354,1.0,1.0,0.0,12.607332,31.52280439552437
2020-08-09 08:50:35+00:00,2020-08-09 08:50:35+00:00,f1a6f4f0ea7b,57112a7cdd7c,ListServiceQuotas,servicequotas.amazonaws.com,ca-central-1,AccessDenied,1,1.0,1.0,1.0,0.0,13.845187,31.41876033247959
2020-05-24 14:46:53+00:00,2020-05-24 15:58:47+00:00,f644a8a9161f,8451958b4456,DescribeEventCategories,rds.amazonaws.com,us-east-1,AccessDenied,2218,0.9950406,1.0,1.0,0.0,13.167297,31.36502297100546
2020-04-22 19:28:26+00:00,2020-04-22 19:33:23+00:00,30e94f1ca7bc,40203522ee91,ListBuckets,ssm.amazonaws.com,us-east-2,AccessDenied,5,1.0,1.0,1.0,0.0,9.67803,30.895671880514634
2020-05-22 18:09:17+00:00,2020-05-22 19:00:30+00:00,84388ce94fb7,ecfa0ae26914,GetBucketPublicAccessBlock,s3.amazonaws.com,us-west-2,NoError,259,0.37451738,0.996139,0.93050194,0.0,11.643119,30.602908745405692
2020-06-26 05:08:36+00:00,2020-06-26 05:35:10+00:00,30e94f1ca7bc,e1047ac29b6a,GetCallerIdentity,sts.amazonaws.com,us-east-1,NoError,8,0.25,1.0,1.0,0.0,3.193593,30.33080116170904
2020-05-18 07:04:44+00:00,2020-05-18 07:04:44+00:00,4de0c24155c6,2ecfc287107d,SharedSnapshotCopyInitiated,ec2.amazonaws.com,us-west-2,NoError,1,0.0,1.0,1.0,1.0,13.845187,30.19217713057224
2020-08-06 15:57:23+00:00,2020-08-06 15:57:35+00:00,84388ce94fb7,ecfa0ae26914,DescribeVpcs,ec2.amazonaws.com,us-east-1,NoError,37,0.0,0.972973,0.1891892,0.0,11.460293,30.181208957391462
2020-05-29 12:28:55+00:00,2020-05-29 12:28:55+00:00,61a9beb18d50,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,1,0.0,1.0,1.0,1.0,13.845187,29.79365845044165
2020-06-11 21:37:48+00:00,2020-06-11 22:12:09+00:00,f644a8a9161f,f6aec92ffe9b,DescribeEventCategories,rds.amazonaws.com,us-east-1,AccessDenied,3459,0.9968199,1.0,0.9976872,0.0,13.20788,29.693149743587252
2020-07-09 17:07:08+00:00,2020-07-09 17:12:30+00:00,f644a8a9161f,8cb1136a05d1,DescribeEventCategories,rds.amazonaws.com,us-east-1,AccessDenied,1497,0.99666,1.0,1.0,0.0,13.293983,29.68270218649774
2020-08-15 12:45:49+00:00,2020-08-15 12:45:49+00:00,116cb5516506,2ecfc287107d,SharedSnapshotCopyInitiated,ec2.amazonaws.com,us-west-2,NoError,1,0.0,1.0,1.0,1.0,13.845187,29.63465044230528
2020-10-05 14:57:32+00:00,2020-10-05 14:57:32+00:00,377b04f569a2,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,1,0.0,1.0,1.0,1.0,13.845187,29.59677973653286
2020-08-04 08:40:13+00:00,2020-08-04 08:40:13+00:00,5888dd873e24,2ecfc287107d,SharedSnapshotVolumeCreated,ec2.amazonaws.com,us-west-2,NoError,1,0.0,1.0,1.0,1.0,13.845187,29.289352685093498
2020-07-15 18:17:32+00:00,2020-07-15 19:22:01+00:00,30e94f1ca7bc,bfe5b588d1d8,GetCallerIdentity,s3.amazonaws.com,us-east-1,AccessDenied,9,0.5555556,1.0,1.0,0.0,3.5208158,29.136578273142348
2020-06-10 22:27:04+00:00,2020-06-10 22:52:34+00:00,f644a8a9161f,f6aec92ffe9b,DescribeEventCategories,rds.amazonaws.com,us-east-1,AccessDenied,1498,0.9959947,1.0,0.9893191,0.0,13.245514,28.876253647801345
2020-09-01 20:09:02+00:00,2020-09-01 20:09:02+00:00,18238103dcb5,2ecfc287107d,SharedSnapshotCopyInitiated,ec2.amazonaws.com,us-west-2,NoError,1,0.0,1.0,1.0,1.0,13.845187,28.81582459034181
2020-04-18 10:44:20+00:00,2020-04-18 10:54:46+00:00,f644a8a9161f,2651e6fd63aa,DescribeEventCategories,rds.amazonaws.com,us-east-1,AccessDenied,743,0.9959623,1.0,1.0,0.0,13.223919,28.604705656913968
2020-07-02 14:08:24+00:00,2020-07-02 14:08:49+00:00,f1a6f4f0ea7b,409082d6f45d,CreateTrafficMirrorFilter,ec2.amazonaws.com,ap-southeast-2,Client.UnauthorizedOperation,2,1.0,1.0,1.0,0.0,13.845187,28.54563497598809
2020-06-10 23:36:15+00:00,2020-06-10 23:36:34+00:00,30e94f1ca7bc,f6aec92ffe9b,DescribeEventCategories,rds.amazonaws.com,us-east-1,AccessDenied,735,0.9972789,1.0,1.0,0.0,13.319776,28.497952222513092
2020-09-21 15:40:57+00:00,2020-09-21 15:41:00+00:00,e2c0f96d5149,0f906021c885,GetBucketAcl,s3.amazonaws.com,us-west-2,AccessDenied,16,0.9375,1.0,1.0,1.0,9.708432,28.23756899660823
2020-06-11 00:34:20+00:00,2020-06-11 00:46:06+00:00,f644a8a9161f,f6aec92ffe9b,DescribeEventCategories,rds.amazonaws.com,us-east-1,AccessDenied,738,0.99728996,1.0,1.0,0.0,13.225842,28.234397010340786
