Model,Corruption,mean,std,count,Recall_mean_SD
Ablation: Event only,api_sequence,1.0,0.0,5,1.0000 ± 0.0000
Ablation: Event only,burst,0.46630686198920585,0.25596278684758483,5,0.4663 ± 0.2560
Ablation: Event only,context_hijack,0.47740940632228224,0.24888485388862935,5,0.4774 ± 0.2489
Ablation: Event only,failure_storm,1.0,0.0,5,1.0000 ± 0.0000
Ablation: Event only,region_service_switch,1.0,0.0,5,1.0000 ± 0.0000
Ablation: No event,api_sequence,0.015111796453353896,0.0037216710520114643,5,0.0151 ± 0.0037
Ablation: No event,burst,0.1756360832690825,0.029688391451311476,5,0.1756 ± 0.0297
Ablation: No event,context_hijack,0.009406322282189667,0.0030549904018749344,5,0.0094 ± 0.0031
Ablation: No event,failure_storm,0.1492675404780262,0.01929528642563035,5,0.1493 ± 0.0193
Ablation: No event,region_service_switch,0.06553585196607556,0.02716648099837759,5,0.0655 ± 0.0272
Ablation: No relational,api_sequence,0.011719352351580569,0.0020688369876636454,5,0.0117 ± 0.0021
Ablation: No relational,burst,0.1449498843484965,0.014080171447763823,5,0.1449 ± 0.0141
Ablation: No relational,context_hijack,0.010023130300693909,0.002935918699253627,5,0.0100 ± 0.0029
Ablation: No relational,failure_storm,0.2542791056283732,0.1152787619640803,5,0.2543 ± 0.1153
Ablation: No relational,region_service_switch,0.0812644564379337,0.005836296335474347,5,0.0813 ± 0.0058
Ablation: No temporal,api_sequence,0.0700077101002313,0.009401897413427267,5,0.0700 ± 0.0094
Ablation: No temporal,burst,0.06877409406322282,0.010702885546728763,5,0.0688 ± 0.0107
Ablation: No temporal,context_hijack,0.010023130300693909,0.0022478611776581728,5,0.0100 ± 0.0022
Ablation: No temporal,failure_storm,0.07185813415574402,0.01068899110292883,5,0.0719 ± 0.0107
Ablation: No temporal,region_service_switch,0.10161912104857362,0.010088158663868085,5,0.1016 ± 0.0101
CloudTrace-MVAD (Full),api_sequence,0.01295296838858905,0.0026372600426348603,5,0.0130 ± 0.0026
CloudTrace-MVAD (Full),burst,0.17810331534309948,0.03708470048979564,5,0.1781 ± 0.0371
CloudTrace-MVAD (Full),context_hijack,0.01110254433307633,0.002591786632840649,5,0.0111 ± 0.0026
CloudTrace-MVAD (Full),failure_storm,0.26599845797995375,0.053375392872232814,5,0.2660 ± 0.0534
CloudTrace-MVAD (Full),region_service_switch,0.08018504240555127,0.003737609758994855,5,0.0802 ± 0.0037
Denoising Autoencoder,api_sequence,0.03084040092521203,0.017522464421532016,5,0.0308 ± 0.0175
Denoising Autoencoder,burst,0.17779491133384734,0.03452627305039367,5,0.1778 ± 0.0345
Denoising Autoencoder,context_hijack,0.01079414032382421,0.0028328717148610382,5,0.0108 ± 0.0028
Denoising Autoencoder,failure_storm,0.2018504240555127,0.04722208230134099,5,0.2019 ± 0.0472
Denoising Autoencoder,region_service_switch,0.34248265227447955,0.2638383456463905,5,0.3425 ± 0.2638
Frequency/Rarity,api_sequence,0.010331534309946029,0.003387183135927339,5,0.0103 ± 0.0034
Frequency/Rarity,burst,0.0075558982266769464,0.0019197994754030427,5,0.0076 ± 0.0019
Frequency/Rarity,context_hijack,0.004780262143407864,0.0010052740794452813,5,0.0048 ± 0.0010
Frequency/Rarity,failure_storm,0.01202775636083269,0.003343019797791642,5,0.0120 ± 0.0033
Frequency/Rarity,region_service_switch,0.04117193523515806,0.005014529696687461,5,0.0412 ± 0.0050
Isolation Forest,api_sequence,0.017424826522744796,0.002351264561600141,5,0.0174 ± 0.0024
Isolation Forest,burst,0.09221279876638397,0.01614156945785774,5,0.0922 ± 0.0161
Isolation Forest,context_hijack,0.024980724749421743,0.004028481257552237,5,0.0250 ± 0.0040
Isolation Forest,failure_storm,0.138473400154202,0.038060103670562534,5,0.1385 ± 0.0381
Isolation Forest,region_service_switch,0.10084811102544333,0.01223211714776519,5,0.1008 ± 0.0122
One-Class SVM,api_sequence,0.01048573631457209,0.0023512645616001393,5,0.0105 ± 0.0024
One-Class SVM,burst,0.1941403238242097,0.01333646773195969,5,0.1941 ± 0.0133
One-Class SVM,context_hijack,0.010331534309946029,0.004415673419668882,5,0.0103 ± 0.0044
One-Class SVM,failure_storm,0.22713955281418657,0.060798919224755485,5,0.2271 ± 0.0608
One-Class SVM,region_service_switch,0.1400154202004626,0.005861704798380324,5,0.1400 ± 0.0059
PCA Reconstruction,api_sequence,0.12212798766383963,0.003599882044696611,5,0.1221 ± 0.0036
PCA Reconstruction,burst,0.1546646106399383,0.006994552616833762,5,0.1547 ± 0.0070
PCA Reconstruction,context_hijack,0.0599845797995374,0.006105114231250316,5,0.0600 ± 0.0061
PCA Reconstruction,failure_storm,0.15065535851966075,0.005073456862409286,5,0.1507 ± 0.0051
PCA Reconstruction,region_service_switch,0.13909020817270626,0.008851517433194235,5,0.1391 ± 0.0089
