Comparator,Metric,Mean_difference,Paired_effect_size,Exact_sign_flip_p
Frequency/Rarity,PR_AUC,0.14267258110312253,10.05713919646932,0.09090909090909091
Frequency/Rarity,ROC_AUC,0.12293255832063668,23.07261537579484,0.09090909090909091
Frequency/Rarity,F1,0.16525012210873904,6.342002571029615,0.09090909090909091
Isolation Forest,PR_AUC,-0.03214733132446792,-3.9269330347956926,0.09090909090909091
Isolation Forest,ROC_AUC,-0.04104723967117061,-19.4963606822327,0.09090909090909091
Isolation Forest,F1,0.05756180339435506,2.688487263950397,0.09090909090909091
PCA Reconstruction,PR_AUC,0.18230779927932206,13.624960519218913,0.09090909090909091
PCA Reconstruction,ROC_AUC,0.1362981722247354,23.788685768419523,0.09090909090909091
PCA Reconstruction,F1,-0.013342488796240198,-0.5806033231357778,0.2727272727272727
One-Class SVM,PR_AUC,0.03773361837697409,3.405069697737363,0.09090909090909091
One-Class SVM,ROC_AUC,0.05111104743821952,9.891281892690131,0.09090909090909091
One-Class SVM,F1,-0.011306836946551529,-0.3802469019510926,0.5151515151515151
Denoising Autoencoder,PR_AUC,0.014408520533078329,1.5643301406959507,0.09090909090909091
Denoising Autoencoder,ROC_AUC,0.0010817419238631886,0.140286882331742,0.7575757575757576
Denoising Autoencoder,F1,-0.06191411612316651,-0.9080356143108068,0.15151515151515152
Ablation: Event only,PR_AUC,0.12295907403374422,10.790029793998018,0.09090909090909091
Ablation: Event only,ROC_AUC,0.07889500056176127,13.209022935468056,0.09090909090909091
Ablation: Event only,F1,-0.5530104007530439,-11.253731458838564,0.09090909090909091
Ablation: No event,PR_AUC,0.018632640393869936,0.7796243644094986,0.21212121212121213
Ablation: No event,ROC_AUC,0.006034046899047518,0.29603804327603517,0.696969696969697
Ablation: No event,F1,0.04333024620205428,1.3973700772404491,0.09090909090909091
Ablation: No temporal,PR_AUC,0.141399169315372,3.6880978773655255,0.09090909090909091
Ablation: No temporal,ROC_AUC,0.08315062397121864,3.587698862368903,0.09090909090909091
Ablation: No temporal,F1,0.08146515858130013,4.22447268142139,0.09090909090909091
Ablation: No relational,PR_AUC,-0.014975876124661048,-1.0439877945253708,0.15151515151515152
Ablation: No relational,ROC_AUC,0.017403231108619542,2.217446136815906,0.09090909090909091
Ablation: No relational,F1,0.014805788027633654,0.3442768254795389,0.5151515151515151
